Market,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,TuneStart,TuneEnd,EvalStart,EvalEnd,Qualified,TuneBets,TuneTotalStaked,TuneTotalProfit,TuneROI,TuneHitRate,TuneAvgEdge,TuneAvgModelProb,TuneAvgOdd,EvalBets,EvalTotalStaked,EvalTotalProfit,EvalROI,EvalHitRate,EvalAvgEdge,EvalAvgModelProb,EvalAvgOdd
Over 2.5,0.0,0.525,,False,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1533.0,15330.0,-254.6999999999999,-0.01661448140900195,0.588388780169602,0.049546767794716964,0.6177813868454417,1.6845205479452054,1058.0,10580.0,270.10000000000014,0.025529300567107765,0.6143667296786389,0.04769500043592631,0.6141067020047213,1.6880056710775049
Over 2.5,0.0,0.55,1.6,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,490.0,4900.0,-25.79999999999985,-0.005265306122448949,0.6653061224489796,0.041766334328165636,0.6741253200225455,1.4981020408163266,305.0,3050.0,131.50000000000006,0.04311475409836067,0.6983606557377049,0.04098364010514832,0.6739132338371172,1.498327868852459
Over 2.5,0.0,0.55,1.7,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,883.0,8830.0,-353.09999999999985,-0.03998867497168741,0.6149490373725934,0.04434926234981204,0.648185262493146,1.5705096262740657,585.0,5850.0,261.4000000000001,0.0446837606837607,0.6666666666666666,0.044887116899478934,0.6474466417821185,1.5751965811965811
Over 2.5,0.0,0.55,1.8,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1179.0,11790.0,-288.6999999999999,-0.024486853265479207,0.6072943172179813,0.0477461073628192,0.6358916077161549,1.6154368108566581,819.0,8190.0,322.10000000000014,0.039328449328449346,0.6434676434676435,0.04761409229847678,0.6324748252811829,1.6258119658119659
Over 2.5,0.0,0.55,1.9,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1282.0,12820.0,-371.4999999999999,-0.028978159126365047,0.5982839313572543,0.048908183252269505,0.631506508784593,1.6348595943837756,870.0,8700.0,310.5000000000001,0.035689655172413806,0.6367816091954023,0.04851259156055268,0.6295634256719904,1.6386781609195404
Over 2.5,0.0,0.55,2.0,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1320.0,13200.0,-358.1999999999998,-0.02713636363636362,0.5962121212121212,0.04989751370815521,0.6298570507955298,1.644181818181818,897.0,8970.0,332.5000000000001,0.03706800445930882,0.6343366778149386,0.049342770782015696,0.6276399602312994,1.6481270903010035
Over 2.5,0.0,0.55,2.2,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1352.0,13520.0,-407.99999999999994,-0.030177514792899405,0.591715976331361,0.051326486047653705,0.6284661332351342,1.6541568047337278,910.0,9100.0,387.9000000000001,0.042626373626373636,0.6351648351648351,0.050147875194667825,0.6267671391249471,1.6541098901098903
Over 2.5,0.0,0.55,,False,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1353.0,13530.0,-392.9999999999999,-0.029046563192904648,0.5920177383592018,0.051425160712840076,0.6284188455634925,1.6547819660014782,910.0,9100.0,387.9000000000001,0.042626373626373636,0.6351648351648351,0.050147875194667825,0.6267671391249471,1.6541098901098903
Over 2.5,0.0,0.575,1.6,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,490.0,4900.0,-25.79999999999985,-0.005265306122448949,0.6653061224489796,0.041766334328165636,0.6741253200225455,1.4981020408163266,305.0,3050.0,131.50000000000006,0.04311475409836067,0.6983606557377049,0.04098364010514832,0.6739132338371172,1.498327868852459
Over 2.5,0.0,0.575,1.7,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,855.0,8550.0,-343.19999999999993,-0.040140350877192976,0.6163742690058479,0.04545428693258499,0.6508252284740372,1.5666666666666667,559.0,5590.0,269.1000000000001,0.04813953488372094,0.6708407871198568,0.04653064931884167,0.651088297218005,1.5701967799642218
Over 2.5,0.0,0.575,1.8,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1065.0,10650.0,-160.89999999999984,-0.015107981220657261,0.6178403755868545,0.05055650608120845,0.6437099768794242,1.60143661971831,723.0,7230.0,233.2000000000001,0.03225449515905949,0.6459197786998617,0.05092085238025593,0.6414845115634884,1.6099031811894884
