Market,StakeMode,StakeModeName,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,ValidationStart,ValidationEnd,ValidationSeasons,TestStart,TestEnd,TestSeasons,Qualified,ValBets,ValTotalStaked,ValTotalProfit,ValROI,ValHitRate,ValAvgEdge,ValAvgModelProb,ValAvgOdd,ValMaxDrawdown,ValMaxDrawdownPct,ValLongestRedStreak,ValFinalBankroll,TestBets,TestTotalStaked,TestTotalProfit,TestROI,TestHitRate,TestAvgEdge,TestAvgModelProb,TestAvgOdd,TestMaxDrawdown,TestMaxDrawdownPct,TestLongestRedStreak,TestFinalBankroll
Over 2.5,fixed,Stake fixa,0.0,0.575,1.8,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1250.0,12500.0,2.600000000000122,0.00020800000000000977,0.6352,0.05637542641577733,0.6556117347054322,1.5867040000000001,235.0000000000001,0.23637095151880919,7.0,1002.6000000000001,1219.0,12190.0,281.50000000000017,0.023092698933552105,0.638228055783429,0.05540527610084602,0.6453078736673217,1.6110582444626744,232.60000000000014,0.22801686109204994,6.0,1281.5000000000002
Over 2.5,fixed,Stake fixa,0.0,0.575,1.9,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1348.0,13480.0,81.60000000000022,0.006053412462908028,0.6313056379821959,0.0582206426106481,0.6517137311946019,1.606454005934718,241.80000000000007,0.24321062160531087,7.0,1081.6000000000001,1281.0,12810.0,237.90000000000006,0.018571428571428576,0.6315378610460578,0.05671901074084076,0.6431116270213217,1.622919594067135,227.0000000000001,0.22252720321537114,6.0,1237.9
Over 2.5,fixed,Stake fixa,0.0,0.575,2.0,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1377.0,13770.0,64.8000000000002,0.004705882352941191,0.6281771968046478,0.05930459207023695,0.6507464908079426,1.6136964415395785,243.20000000000005,0.24461878897606118,7.0,1064.8000000000002,1312.0,13120.0,182.00000000000009,0.013871951219512202,0.6265243902439024,0.05782651713717779,0.6419733844268466,1.6306326219512197,257.29999999999995,0.2522301735124007,6.0,1182.0
Over 2.5,fixed,Stake fixa,0.0,0.575,2.2,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1397.0,13970.0,113.80000000000014,0.008146027201145321,0.6277738010021474,0.06048412517730195,0.6500358432042999,1.6202720114531137,233.20000000000005,0.23456045061355868,7.0,1113.8000000000002,1319.0,13190.0,173.8000000000001,0.013176648976497354,0.6254738438210766,0.05826465898702881,0.6417457151910171,1.633002274450341,277.30000000000007,0.27183609450053925,6.0,1173.8000000000002
Over 2.5,fixed,Stake fixa,0.0,0.575,,False,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1398.0,13980.0,103.80000000000013,0.00742489270386267,0.6273247496423462,0.060576682342688155,0.6499851680800381,1.6208297567954222,233.20000000000005,0.23456045061355868,7.0,1103.8000000000002,1319.0,13190.0,173.8000000000001,0.013176648976497354,0.6254738438210766,0.05826465898702881,0.6417457151910171,1.633002274450341,277.30000000000007,0.27183609450053925,6.0,1173.8000000000002
Over 2.5,fixed,Stake fixa,0.0,0.6,1.6,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,623.0,6230.0,117.4000000000001,0.018844301765650096,0.6886035313001605,0.04691007399246819,0.6846846031724921,1.4863402889245585,223.89999999999998,0.2218588981371383,6.0,1117.4,501.0,5010.0,104.60000000000012,0.020878243512974078,0.6846307385229541,0.046027999622887526,0.6798725519315307,1.4952295409181637,98.89999999999998,0.09731378529961623,5.0,1104.6000000000001
Over 2.5,fixed,Stake fixa,0.0,0.6,1.7,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,923.0,9230.0,-23.89999999999978,-0.0025893824485373543,0.6522210184182016,0.05523260474555558,0.6714892104440723,1.5405633802816903,226.70000000000005,0.22280098280098284,8.0,976.1000000000003,837.0,8370.0,135.00000000000023,0.016129032258064543,0.6547192353643967,0.054381716033523785,0.6628607007915118,1.5598805256869772,194.79999999999995,0.1935804432077909,9.0,1135.0000000000002
Over 2.5,fixed,Stake fixa,0.0,0.6,1.8,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1071.0,10710.0,10.10000000000015,0.0009430438842203689,0.6433239962651728,0.06060579947245963,0.6668930531224433,1.5682166199813259,243.10000000000002,0.23891891891891895,6.0,1010.1000000000001,1000.0,10000.0,281.60000000000014,0.028160000000000015,0.65,0.05987780681307451,0.6577721945643769,1.58971,170.5999999999999,0.16831097079715854,5.0,1281.6000000000001
Over 2.5,fixed,Stake fixa,0.0,0.6,1.9,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1112.0,11120.0,65.50000000000018,0.00589028776978419,0.6420863309352518,0.06227177890377535,0.6654067821819105,1.5789658273381295,247.0,0.24275184275184275,6.0,1065.5000000000002,1020.0,10200.0,248.5000000000001,0.024362745098039228,0.6460784313725491,0.06083791190204344,0.6571948821766552,1.5947941176470588,195.19999999999993,0.19258089976322013,5.0,1248.5
Over 2.5,fixed,Stake fixa,0.0,0.6,2.0,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1130.0,11300.0,40.40000000000012,0.0035752212389380637,0.6389380530973451,0.06316857277724229,0.6646518608129555,1.5847079646017699,248.39999999999998,0.2441277641277641,6.0,1040.4,1030.0,10300.0,265.50000000000017,0.02577669902912623,0.6456310679611651,0.06145027870004993,0.6568147385528513,1.5981456310679614,215.70000000000005,0.21280584056827154,5.0,1265.5000000000002
Over 2.5,fixed,Stake fixa,0.0,0.6,2.2,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1139.0,11390.0,33.70000000000013,0.002958735733099221,0.6374012291483757,0.06395430942151865,0.6643083694472461,1.5885776997366112,248.39999999999998,0.2441277641277641,6.0,1033.7,1033.0,10330.0,235.5000000000001,0.022797676669893525,0.643756050338819,0.061740094427012934,0.6566894735057885,1.5996321393998068,225.70000000000005,0.2226716653512234,5.0,1235.5
Over 2.5,fixed,Stake fixa,0.0,0.6,,False,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1139.0,11390.0,33.70000000000013,0.002958735733099221,0.6374012291483757,0.06395430942151865,0.6643083694472461,1.5885776997366112,248.39999999999998,0.2441277641277641,6.0,1033.7,1033.0,10330.0,235.5000000000001,0.022797676669893525,0.643756050338819,0.061740094427012934,0.6566894735057885,1.5996321393998068,225.70000000000005,0.2226716653512234,5.0,1235.5
Over 2.5,fixed,Stake fixa,0.0,0.625,1.6,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,555.0,5550.0,173.90000000000006,0.031333333333333345,0.7009009009009008,0.05115490694813385,0.6933152658792991,1.476990990990991,207.5999999999999,0.20396934564747488,5.0,1173.9,436.0,4360.0,140.9000000000001,0.03231651376146791,0.6972477064220184,0.050885249690611326,0.6898447540585049,1.483784403669725,84.59999999999991,0.08373750371176869,4.0,1140.9
