Market,Feature,Importance,ImportanceShare,Rank
Total Gols 2.5,Home_Elo_Pre,0.0036415372,0.0036415372,154
Total Gols 2.5,Home_Home_GoalDiff_Roll5,0.0036261962,0.0036261962,155
Total Gols 2.5,Away_DefensiveDelta_Roll5,0.003616597,0.003616597,156
Total Gols 2.5,TeamStrength_Expected_Away,0.0036125411,0.0036125411,157
Total Gols 2.5,Away_FoulsFor_Roll5,0.0036004884,0.0036004884,158
Total Gols 2.5,Home_FirstHalfTotalGoals_Roll5,0.003599481,0.003599481,159
Total Gols 2.5,MatchImportance,0.0035946718,0.0035946718,160
Total Gols 2.5,Away_ConversionRate_Roll5,0.0035879638,0.0035879638,161
Total Gols 2.5,Home_FoulsAgainst_Roll5,0.0035715895,0.0035715895,162
Total Gols 2.5,FirstHalfGoals_vs_League,0.0035698737,0.0035698737,163
Total Gols 2.5,Home_ShotsOnTargetFor_Roll5,0.003541223,0.003541223,164
Total Gols 2.5,Venue_Corners_Total_Roll5,0.0035220722,0.0035220722,165
Total Gols 2.5,Away_RelegationPressure,0.0035021633,0.0035021633,166
Total Gols 2.5,Away_CornersFor_Roll5,0.003499052,0.003499052,167
Total Gols 2.5,ShotAccuracy_Diff_Roll5,0.0034983112,0.0034983112,168
Total Gols 2.5,Elo_Diff,0.00349831,0.00349831,169
Total Gols 2.5,Away_Elo_Pre,0.0034972206,0.0034972206,170
Total Gols 2.5,xG_Attack_Diff_Roll5,0.0034744786,0.0034744786,171
Total Gols 2.5,Elo_Expected_Away,0.0034708413,0.0034708413,172
Total Gols 2.5,AH_Overround,0.0034656303,0.0034656303,173
Total Gols 2.5,Home_FinishingDelta_Roll5,0.0034437345,0.0034437345,174
Total Gols 2.5,Away_FirstHalfGoalsFor_Roll5,0.0034326015,0.0034326015,175
Total Gols 2.5,Home_ImpliedMove,0.003431942,0.003431942,176
Total Gols 2.5,ShotPressure_Diff_Roll5,0.0034215176,0.0034215176,177
Total Gols 2.5,League_ShotsTotal_Pregame,0.0034189858,0.0034189858,178
Total Gols 2.5,Rank_Diff,0.0034147264,0.0034147264,179
Total Gols 2.5,Expected_Total_vs_League,0.003403578,0.003403578,180
Total Gols 2.5,Away_WinRate_Roll5,0.0033901257,0.0033901257,181
Total Gols 2.5,Home_Home_ShotsOnTargetFor_Roll5,0.0033766483,0.0033766483,182
Total Gols 2.5,Referee_TotalCards_Roll20,0.0033512989,0.0033512989,183
Total Gols 2.5,Home_RestDays,0.003338678,0.003338678,184
Total Gols 2.5,Away_SecondHalfGoalsAgainst_Roll5,0.0033282032,0.0033282032,185
Total Gols 2.5,Home_ConversionRate_Roll5,0.0033281632,0.0033281632,186
Total Gols 2.5,Away_xGFor_Roll5,0.0033063083,0.0033063083,187
Total Gols 2.5,Away_Away_GoalDiff_Roll5,0.0032663979,0.0032663979,188
Total Gols 2.5,Home_DrawRate_Roll5,0.0032434838,0.0032434838,189
Total Gols 2.5,Home_xGAgainst_Roll5,0.0031666418,0.0031666418,190
Total Gols 2.5,AH_AwayOddsMove,0.0031617156,0.0031617156,191
Total Gols 2.5,AH_AwayOdds,0.003159231,0.003159231,192
Total Gols 2.5,Home_FoulsFor_Roll5,0.0031470344,0.0031470344,193
Total Gols 2.5,AH_HomeOddsMove,0.003121248,0.003121248,194
Total Gols 2.5,Home_RedCardsFor_Roll5,0.003102404,0.003102404,195
Total Gols 2.5,Away_Away_GF_Roll5,0.0030833,0.0030833,196
Total Gols 2.5,AH_AbsLineMove,0.0030828605,0.0030828605,197
Total Gols 2.5,Venue_Points_Diff_Roll5,0.0029946717,0.0029946717,198
Total Gols 2.5,Home_Points_Roll5,0.002941278,0.002941278,199
Total Gols 2.5,Away_TG_Roll5,0.002904824,0.002904824,200
Total Gols 2.5,Away_TeamStrength,0.0028102347,0.0028102347,201
Total Gols 2.5,Home_RedCardsAgainst_Roll5,0.002799548,0.002799548,202
Total Gols 2.5,AH_HomeStrengthMove,0.0027975787,0.0027975787,203
Total Gols 2.5,Away_Away_CornersFor_Roll5,0.0027483546,0.0027483546,204
Total Gols 2.5,Home_PreMatch_Rank,0.002650189,0.002650189,205
Total Gols 2.5,Totals_MaxAvgGap,0.0025756129,0.0025756129,206
Total Gols 2.5,Away_ImpliedMove,0.0025219352,0.0025219352,207
Total Gols 2.5,Venue_Attack_Diff_Roll5,0.0024480552,0.0024480552,208
Total Gols 2.5,FirstHalfGoals_Total_Roll5,0.0024097713,0.0024097713,209
Total Gols 2.5,Away_GA_Roll5,0.0023146416,0.0023146416,210
Total Gols 2.5,Away_DrawRate_Roll5,0.0022491822,0.0022491822,211
Total Gols 2.5,Total_Goals_Form_Roll5,0.001400366,0.001400366,212
Total Gols 2.5,Home_GF_Roll5,0.0,0.0,213
Total Gols 2.5,Home_Over25_Roll5,0.0,0.0,214
Total Gols 2.5,Home_Home_Over25_Roll5,0.0,0.0,215
Total Gols 2.5,Away_GF_Roll5,0.0,0.0,216
Total Gols 2.5,Away_Over25_Roll5,0.0,0.0,217
Total Gols 2.5,Away_Away_TG_Roll5,0.0,0.0,218
Total Gols 2.5,Over25_Rate_Diff_Roll5,0.0,0.0,219
Total Gols 2.5,Expected_Total_Goals_Form_Roll5,0.0,0.0,220
Total Gols 2.5,Home_GoalDiff_Roll5,0.0,0.0,221
Total Gols 2.5,Home_LossRate_Roll5,0.0,0.0,222
Total Gols 2.5,Home_CleanSheet_Roll5,0.0,0.0,223
Total Gols 2.5,Home_FailedToScore_Roll5,0.0,0.0,224
Total Gols 2.5,Home_Home_WinRate_Roll5,0.0,0.0,225
